unity_time;FPS
100.300;195.40
100.400;198.70
100.500;193.16
100.600;192.04
100.700;172.14
100.800;132.71
100.900;188.05
101.000;195.53
101.100;204.86
101.200;199.13
101.300;196.38
101.400;190.09
101.500;196.58
101.600;207.73
101.700;198.19
101.800;207.91
101.900;197.20
102.000;204.06
102.100;198.78
102.200;192.99
102.300;193.33
102.400;211.91
102.500;204.67
102.600;205.01
102.700;202.71
102.800;198.67
102.900;201.56
103.000;195.60
103.100;200.51
103.200;197.53
103.300;207.05
103.400;208.11
103.500;199.38
103.600;199.36
103.700;219.93
103.800;204.51
103.900;200.90
104.000;200.04
104.100;201.01
104.200;196.64
104.300;205.58
104.400;205.89
104.500;207.71
104.600;203.85
104.700;198.58
104.800;201.18
104.900;206.81
105.000;209.85
105.100;212.35
105.200;211.72
105.300;205.27
105.400;205.41
105.500;210.09
105.600;200.59
105.700;204.48
105.800;199.90
105.900;201.19
106.000;198.03
106.100;198.26
106.200;202.33
106.300;202.14
106.400;199.37
106.500;199.47
106.600;200.34
106.700;216.43
106.800;209.81
106.900;207.13
107.000;205.86
107.100;203.22
107.200;193.90
107.300;199.14
107.400;192.86
107.500;205.74
107.600;205.86
107.700;204.14
107.800;195.91
107.900;198.16
108.000;191.70
108.100;196.57
108.200;192.33
108.300;198.52
108.400;190.70
108.500;202.72
108.600;203.69
108.700;205.30
108.800;198.85
108.900;193.79
109.000;199.29
109.100;192.84
109.200;195.39
109.300;195.39
109.400;173.08
109.500;192.33
109.600;196.86
109.700;198.26
109.800;194.47
109.900;192.97
110.000;190.55
110.100;190.88
110.200;196.45
110.300;194.03
110.400;193.29
110.500;194.20
110.600;197.74
110.700;197.64
110.800;194.35
110.900;193.35
111.000;195.94
111.100;195.78
111.200;204.27
111.300;207.25
111.400;209.77
111.500;196.49
111.600;192.04
111.700;192.99
111.800;198.67
111.900;194.12
112.000;190.33
112.100;192.96
112.200;201.95
112.300;197.52
112.400;209.88
112.500;193.59
112.600;206.32
112.700;194.93
112.800;207.24
112.900;199.79
113.000;198.21
113.100;201.51
113.200;195.26
113.300;198.17
113.400;208.97
113.500;193.86
113.600;194.58
113.700;197.57
113.800;195.83
113.900;194.97
114.000;193.27
114.100;188.90
114.200;192.61
114.300;186.91
114.400;188.20
114.500;195.55
114.600;196.54
114.700;197.10
114.800;189.00
114.900;189.18
115.000;193.14
115.100;192.63
115.200;191.55
115.300;204.20
115.400;191.97
115.500;190.24
115.600;190.51
115.700;198.51
115.800;189.34
115.900;187.90
116.000;191.97
116.100;187.42
116.200;192.71
